Task,Resource,Duration
C-Suite Recruitment,Resource 3,4.941098947742397
C-Suite Recruitment,Resource 4,5.848763476851363
C-Suite Recruitment,Resource 1,9.764232225564957
Graduate Recruitment,Resource 3,7.752782678048551
Graduate Recruitment,Resource 4,4.365539300525409
C-Suite Recruitment,Resource 1,2.391566988711568
C-Suite Recruitment,Resource 1,1.8706992095611406
Experienced Recruitment,Resource 3,6.437376560593512
Graduate Recruitment,Resource 1,3.62771790281413
Experienced Recruitment,Resource 1,10.354447162051024
Experienced Recruitment,Resource 2,1.0
Graduate Recruitment,Resource 3,6.169429631786115
C-Suite Recruitment,Resource 3,6.10038923009397
Graduate Recruitment,Resource 3,7.175766630641985
Experienced Recruitment,Resource 3,7.54892205229551
Experienced Recruitment,Resource 2,7.7509858121346245
Graduate Recruitment,Resource 1,7.13724964074958
Experienced Recruitment,Resource 2,5.576703077572893
Graduate Recruitment,Resource 3,6.16979982493127
C-Suite Recruitment,Resource 3,1.5777585875752465
Graduate Recruitment,Resource 2,6.469842242765255
Graduate Recruitment,Resource 3,6.605266060691117
C-Suite Recruitment,Resource 2,2.8136217956072525
C-Suite Recruitment,Resource 2,8.53436879119703
C-Suite Recruitment,Resource 4,9.185272458914397
Graduate Recruitment,Resource 1,7.980636056636461
Experienced Recruitment,Resource 1,8.780652032696137
C-Suite Recruitment,Resource 3,7.46188473676122
C-Suite Recruitment,Resource 4,7.101392665967605
Graduate Recruitment,Resource 3,9.730573159632801
Experienced Recruitment,Resource 3,8.36741065855195
Graduate Recruitment,Resource 1,8.595875418531874
Experienced Recruitment,Resource 2,7.523256068377136
Experienced Recruitment,Resource 3,7.772138144884078
C-Suite Recruitment,Resource 2,6.666930112027775
C-Suite Recruitment,Resource 1,4.24747159646884
Graduate Recruitment,Resource 4,3.280331568106588
Experienced Recruitment,Resource 3,14.276094137288666
C-Suite Recruitment,Resource 2,1.0
C-Suite Recruitment,Resource 1,5.759506821516476
Graduate Recruitment,Resource 3,11.458485131065167
Experienced Recruitment,Resource 3,1.0
Graduate Recruitment,Resource 3,6.1129909883730855
Experienced Recruitment,Resource 3,8.16912976729977
Experienced Recruitment,Resource 2,2.9825127421124638
C-Suite Recruitment,Resource 3,1.5704605114612704
Experienced Recruitment,Resource 2,1.069737285225906
Graduate Recruitment,Resource 3,3.8358502512099606
C-Suite Recruitment,Resource 2,6.551866879388571
Experienced Recruitment,Resource 3,2.3668354322122642
Graduate Recruitment,Resource 2,9.551162105391278
C-Suite Recruitment,Resource 2,6.720438394694018
C-Suite Recruitment,Resource 4,12.613171815957042
Graduate Recruitment,Resource 4,7.737727642089789
C-Suite Recruitment,Resource 2,1.0
Experienced Recruitment,Resource 4,3.9839904841706155
Experienced Recruitment,Resource 4,3.2871272928643056
C-Suite Recruitment,Resource 3,6.256632412342793
Graduate Recruitment,Resource 1,6.174067352328407
Graduate Recruitment,Resource 1,7.075406677624999
C-Suite Recruitment,Resource 4,7.866397315816741
C-Suite Recruitment,Resource 3,7.167488702784028
C-Suite Recruitment,Resource 4,3.9620396947640195
C-Suite Recruitment,Resource 2,4.162039482381669
Experienced Recruitment,Resource 3,1.0
Experienced Recruitment,Resource 2,5.478790682706753
Graduate Recruitment,Resource 1,4.663075346920339
Graduate Recruitment,Resource 1,10.85637587078797
C-Suite Recruitment,Resource 3,1.0
C-Suite Recruitment,Resource 3,5.734674660938357
Experienced Recruitment,Resource 4,8.61478730188329
C-Suite Recruitment,Resource 3,11.37613218943875
C-Suite Recruitment,Resource 1,3.8672680552242427
Graduate Recruitment,Resource 4,7.134948487127654
C-Suite Recruitment,Resource 1,6.266165821399712
Graduate Recruitment,Resource 4,2.6277405938212035
Graduate Recruitment,Resource 3,4.677492642561713
C-Suite Recruitment,Resource 4,9.111435019632825
Experienced Recruitment,Resource 2,11.029540328726075
Experienced Recruitment,Resource 3,8.650593011379689
C-Suite Recruitment,Resource 4,4.113760466061258
C-Suite Recruitment,Resource 1,8.739741972410066
Experienced Recruitment,Resource 1,10.074028407092987
Experienced Recruitment,Resource 1,4.214386681070666
Graduate Recruitment,Resource 2,7.067998186513833
Graduate Recruitment,Resource 2,2.7463605366006387
C-Suite Recruitment,Resource 1,2.242526736441818
C-Suite Recruitment,Resource 1,7.697072002943447
Graduate Recruitment,Resource 2,8.445607989085154
Experienced Recruitment,Resource 3,3.653131290777785
C-Suite Recruitment,Resource 4,10.967166698013443
C-Suite Recruitment,Resource 2,1.2361952409873855
C-Suite Recruitment,Resource 2,5.168357289633871
Graduate Recruitment,Resource 2,8.121300728019882
Graduate Recruitment,Resource 2,6.219117148787348
Experienced Recruitment,Resource 4,1.0
Graduate Recruitment,Resource 1,4.450216925796403
C-Suite Recruitment,Resource 1,3.5241615607009815
Graduate Recruitment,Resource 4,5.5117909262321065
Graduate Recruitment,Resource 2,8.31248918373014
C-Suite Recruitment,Resource 2,7.561537672243062
Graduate Recruitment,Resource 3,9.830863729034032
Graduate Recruitment,Resource 3,10.110796143572024
Experienced Recruitment,Resource 2,7.613987485920518
C-Suite Recruitment,Resource 2,8.104279693046733
C-Suite Recruitment,Resource 1,5.810693136183152
Experienced Recruitment,Resource 2,5.80468370534978
C-Suite Recruitment,Resource 3,1.0
Experienced Recruitment,Resource 2,7.119139413339967
Graduate Recruitment,Resource 3,8.534834590354848
Experienced Recruitment,Resource 1,6.6710077708726985
Experienced Recruitment,Resource 4,10.686781650793169
Graduate Recruitment,Resource 1,9.728572404379554
Graduate Recruitment,Resource 1,4.071648051560268
C-Suite Recruitment,Resource 1,4.214531209007834
C-Suite Recruitment,Resource 4,7.575000878237801
Experienced Recruitment,Resource 4,1.1195608169457518
Graduate Recruitment,Resource 1,6.599855345099578
Graduate Recruitment,Resource 2,8.844403715106615
Graduate Recruitment,Resource 1,8.063423243079416
Graduate Recruitment,Resource 2,4.493890496548556
Graduate Recruitment,Resource 3,10.052092179202413
Graduate Recruitment,Resource 4,5.958830861312683
Graduate Recruitment,Resource 1,7.956714512169748
Experienced Recruitment,Resource 2,1.0
C-Suite Recruitment,Resource 2,1.0
C-Suite Recruitment,Resource 2,2.906911548240148
Experienced Recruitment,Resource 4,4.138039675601303
Graduate Recruitment,Resource 2,8.284780999239926
C-Suite Recruitment,Resource 2,1.1931406675611456
Experienced Recruitment,Resource 1,4.58409342781526
C-Suite Recruitment,Resource 3,2.830503977859072
C-Suite Recruitment,Resource 3,1.0
C-Suite Recruitment,Resource 2,4.854466669001588
Experienced Recruitment,Resource 2,8.217557147853164
Graduate Recruitment,Resource 4,5.351743782159861
C-Suite Recruitment,Resource 1,4.731908111892123
Experienced Recruitment,Resource 2,8.596981081815555
C-Suite Recruitment,Resource 1,2.2351709648278204
Graduate Recruitment,Resource 2,5.436635246108079
Experienced Recruitment,Resource 2,5.844850834436508
C-Suite Recruitment,Resource 4,2.2928221350353772
Graduate Recruitment,Resource 4,8.713660993566545
C-Suite Recruitment,Resource 4,4.249736597382101
Experienced Recruitment,Resource 2,8.894787238345575
Graduate Recruitment,Resource 4,4.771881107052167
Experienced Recruitment,Resource 2,11.355855240359855
Experienced Recruitment,Resource 4,15.17384463449055
Graduate Recruitment,Resource 2,7.759257086377648
C-Suite Recruitment,Resource 2,5.59329463656636
C-Suite Recruitment,Resource 2,1.617711723775753
Graduate Recruitment,Resource 3,5.507771929775929
Graduate Recruitment,Resource 3,9.727870975526306
Graduate Recruitment,Resource 3,6.968643928369821
Experienced Recruitment,Resource 1,4.456391204196269
Experienced Recruitment,Resource 3,6.065428975797245
C-Suite Recruitment,Resource 1,8.94559321547056
C-Suite Recruitment,Resource 4,6.897158686785774
Graduate Recruitment,Resource 1,3.7157441584653164
Experienced Recruitment,Resource 1,4.5810025529092435
Experienced Recruitment,Resource 4,6.059125265599372
C-Suite Recruitment,Resource 3,5.107478957871503
C-Suite Recruitment,Resource 2,6.668106779020042
C-Suite Recruitment,Resource 2,1.073410830943926
C-Suite Recruitment,Resource 1,9.22549257345177
Experienced Recruitment,Resource 3,7.402165187616083
Graduate Recruitment,Resource 2,8.406478130021902
Experienced Recruitment,Resource 4,6.219626708100635
Experienced Recruitment,Resource 2,1.0
C-Suite Recruitment,Resource 4,9.693900944583469
Graduate Recruitment,Resource 2,6.389357697606557
C-Suite Recruitment,Resource 3,6.153591169216114
Experienced Recruitment,Resource 1,9.879738497959796
Graduate Recruitment,Resource 1,7.6090255271992016
Experienced Recruitment,Resource 1,3.280324800442764
C-Suite Recruitment,Resource 2,2.7296719940794283
C-Suite Recruitment,Resource 1,3.329725166206643
Graduate Recruitment,Resource 1,5.692292519826378
Experienced Recruitment,Resource 2,9.868749795418818
Experienced Recruitment,Resource 1,4.621392768047221
C-Suite Recruitment,Resource 2,4.537383927285021
C-Suite Recruitment,Resource 2,9.834200267389438
C-Suite Recruitment,Resource 4,8.805085572121413
Graduate Recruitment,Resource 2,6.246130180212293
Experienced Recruitment,Resource 4,13.29863026985229
C-Suite Recruitment,Resource 2,2.384467002699202
C-Suite Recruitment,Resource 1,3.41726890579588
Experienced Recruitment,Resource 4,5.697163290530591
Graduate Recruitment,Resource 3,7.960796440398797
C-Suite Recruitment,Resource 3,2.1437229864162695
Graduate Recruitment,Resource 4,4.250988544658728
Graduate Recruitment,Resource 1,2.966596683086038
Experienced Recruitment,Resource 2,1.8987499404587478
C-Suite Recruitment,Resource 1,12.092782457073163
C-Suite Recruitment,Resource 3,4.771952637358877
Graduate Recruitment,Resource 3,5.116087767521893
Experienced Recruitment,Resource 3,1.0
C-Suite Recruitment,Resource 2,1.0
Experienced Recruitment,Resource 2,14.919837759098163
Experienced Recruitment,Resource 1,5.973458968288997
Graduate Recruitment,Resource 4,5.103530226916169
Graduate Recruitment,Resource 4,10.771433978971233
Experienced Recruitment,Resource 2,6.950540364494539
Experienced Recruitment,Resource 1,1.0
Graduate Recruitment,Resource 1,4.239729134322479
Experienced Recruitment,Resource 1,5.960596579976635
Graduate Recruitment,Resource 4,5.439551604970031
C-Suite Recruitment,Resource 2,2.6929924801163225
Experienced Recruitment,Resource 3,5.361930506863267
C-Suite Recruitment,Resource 4,3.748300980808543
C-Suite Recruitment,Resource 1,4.240310232405732
C-Suite Recruitment,Resource 1,12.398845996211428
C-Suite Recruitment,Resource 4,6.50951884570084
C-Suite Recruitment,Resource 2,1.0
Graduate Recruitment,Resource 2,9.30894381659337
Experienced Recruitment,Resource 3,3.9637321480865526
Graduate Recruitment,Resource 3,7.230764999242525
C-Suite Recruitment,Resource 1,8.311579609613847
C-Suite Recruitment,Resource 4,5.5714813154629095
C-Suite Recruitment,Resource 1,6.4598211854623715
Graduate Recruitment,Resource 2,1.885478084904217
Experienced Recruitment,Resource 3,7.016528708943292
C-Suite Recruitment,Resource 4,9.433926181275783
Experienced Recruitment,Resource 4,4.791170947153256
C-Suite Recruitment,Resource 4,1.0
Graduate Recruitment,Resource 2,8.187152307186876
C-Suite Recruitment,Resource 3,1.0
Experienced Recruitment,Resource 4,1.0
Experienced Recruitment,Resource 2,11.823285652011958
Experienced Recruitment,Resource 4,1.0
Experienced Recruitment,Resource 4,6.496387015863895
C-Suite Recruitment,Resource 3,9.172917992135238
Graduate Recruitment,Resource 2,7.1380786966131105
Graduate Recruitment,Resource 2,6.565874328755927
Experienced Recruitment,Resource 4,2.4161721596147485
Graduate Recruitment,Resource 1,1.0
C-Suite Recruitment,Resource 3,1.0
Graduate Recruitment,Resource 4,7.892722378171676
Experienced Recruitment,Resource 3,4.069766896947989
Experienced Recruitment,Resource 3,6.805561875622959
Experienced Recruitment,Resource 4,1.0
Graduate Recruitment,Resource 4,4.806320092175045
Graduate Recruitment,Resource 1,5.440621502001401
C-Suite Recruitment,Resource 2,6.108796638301746
C-Suite Recruitment,Resource 1,6.364863574957476
Experienced Recruitment,Resource 1,18.98035740293747
Graduate Recruitment,Resource 2,8.284361534005365
C-Suite Recruitment,Resource 3,5.942253161509691
C-Suite Recruitment,Resource 4,2.9719389114892847
C-Suite Recruitment,Resource 3,2.8667383467078213
Graduate Recruitment,Resource 3,4.131053845830705
Experienced Recruitment,Resource 4,8.960856116337457
Graduate Recruitment,Resource 1,5.505196352968029
Graduate Recruitment,Resource 2,7.0300614858058825
Graduate Recruitment,Resource 4,6.112165627206158
C-Suite Recruitment,Resource 2,6.762780852330495
Experienced Recruitment,Resource 3,12.967035118143452
Experienced Recruitment,Resource 3,1.0
Graduate Recruitment,Resource 1,6.305088846207707
C-Suite Recruitment,Resource 1,6.56080032484929
C-Suite Recruitment,Resource 3,11.465605998049268
Experienced Recruitment,Resource 1,1.0
C-Suite Recruitment,Resource 3,5.861883676958921
C-Suite Recruitment,Resource 1,7.532374291342819
Experienced Recruitment,Resource 3,10.040313350774394
Experienced Recruitment,Resource 3,9.505454812906521
Experienced Recruitment,Resource 2,10.05988064697034
Graduate Recruitment,Resource 4,6.456612883973451
C-Suite Recruitment,Resource 3,2.1843824263750378
Experienced Recruitment,Resource 1,3.7575170409625667
Graduate Recruitment,Resource 2,5.48655186076571
Experienced Recruitment,Resource 1,8.26103974358928
Experienced Recruitment,Resource 4,1.0
Experienced Recruitment,Resource 2,3.521926661385317
Graduate Recruitment,Resource 4,6.486790002848546
Experienced Recruitment,Resource 3,4.187401948780721
Graduate Recruitment,Resource 1,8.124504243783976
Experienced Recruitment,Resource 3,4.4922834419617494
Graduate Recruitment,Resource 4,2.8163581661472707
C-Suite Recruitment,Resource 1,4.356150952358217
Graduate Recruitment,Resource 4,6.092485415449583
C-Suite Recruitment,Resource 3,2.896754510693663
Experienced Recruitment,Resource 2,7.683662855585363
Graduate Recruitment,Resource 2,9.534852532827651
Experienced Recruitment,Resource 1,8.312393642258424
Graduate Recruitment,Resource 3,5.471017802790706
Graduate Recruitment,Resource 4,7.969543442711419
C-Suite Recruitment,Resource 3,1.8734321409716004
Experienced Recruitment,Resource 4,5.449262010120961
Experienced Recruitment,Resource 1,1.0
Graduate Recruitment,Resource 1,6.209443857055641
Experienced Recruitment,Resource 3,2.9175637329350197
C-Suite Recruitment,Resource 4,2.086664350327427
C-Suite Recruitment,Resource 3,4.263562932678476
C-Suite Recruitment,Resource 1,6.76205548895999
C-Suite Recruitment,Resource 1,7.964331150129002
C-Suite Recruitment,Resource 4,5.18741284388147
C-Suite Recruitment,Resource 4,6.91383581486545
Experienced Recruitment,Resource 2,1.4414783421654223
C-Suite Recruitment,Resource 4,2.0721119993351524
Graduate Recruitment,Resource 2,5.298188802104268
Experienced Recruitment,Resource 4,6.507768703003972
C-Suite Recruitment,Resource 3,2.484768067166504
C-Suite Recruitment,Resource 2,2.8279267846670164
Experienced Recruitment,Resource 4,2.353798124721431
Graduate Recruitment,Resource 2,6.469170629999996
Graduate Recruitment,Resource 1,6.52463044451336
C-Suite Recruitment,Resource 1,4.624463432887842
Graduate Recruitment,Resource 1,7.445177355192903
C-Suite Recruitment,Resource 3,11.111324417742455
C-Suite Recruitment,Resource 4,4.234052942884049
C-Suite Recruitment,Resource 1,3.54733918983164
C-Suite Recruitment,Resource 4,12.349167905745567
Graduate Recruitment,Resource 1,5.729912239631169
Graduate Recruitment,Resource 3,8.623490468161886
C-Suite Recruitment,Resource 4,8.371698645885978
C-Suite Recruitment,Resource 1,3.979320771854188
C-Suite Recruitment,Resource 4,9.445503060664542
C-Suite Recruitment,Resource 2,2.979850105763707
Experienced Recruitment,Resource 1,11.61940102947943
Experienced Recruitment,Resource 2,5.195294974992187
Experienced Recruitment,Resource 2,5.425494556585201
Graduate Recruitment,Resource 3,2.6231164574318426
Graduate Recruitment,Resource 2,9.136079952192606
C-Suite Recruitment,Resource 3,2.9736265279335052
Experienced Recruitment,Resource 3,7.161141741358436
Graduate Recruitment,Resource 2,7.622513612480456
C-Suite Recruitment,Resource 1,2.0107257341246867
Graduate Recruitment,Resource 1,4.404734838597247
Experienced Recruitment,Resource 2,11.720754429620035
Experienced Recruitment,Resource 3,2.2548762862219425
Graduate Recruitment,Resource 3,3.5325880061320305
Graduate Recruitment,Resource 4,1.2673429362374682
C-Suite Recruitment,Resource 3,1.8445038536447829
C-Suite Recruitment,Resource 2,1.0
Graduate Recruitment,Resource 2,6.257281045823704
Experienced Recruitment,Resource 4,16.38529294688821
Experienced Recruitment,Resource 4,7.231834459430588
Experienced Recruitment,Resource 1,7.143080040256722
Experienced Recruitment,Resource 1,12.758225700885891
Graduate Recruitment,Resource 2,5.914126936416794
Experienced Recruitment,Resource 2,11.40293232496008
Experienced Recruitment,Resource 3,5.439346927462276
Graduate Recruitment,Resource 4,6.718110376950767
C-Suite Recruitment,Resource 4,1.7210294956393004
C-Suite Recruitment,Resource 4,5.811140704648963
C-Suite Recruitment,Resource 4,6.684444036036244
